year,mileage_km,power_kw,objem_motoru,price_czk
2017,182104.0,140.0,2.0,350000.0
2014,165458.0,66.0,1.4,150000.0
2014,165458.0,66.0,1.4,150000.0
2012,158922.0,118.0,1.4,110000.0
2012,158922.0,118.0,1.4,110000.0
2014,128359.0,165.0,2.0,100000.0
2014,128359.0,165.0,2.0,100000.0
2014,87389.0,81.0,1.5,100000.0
2014,87389.0,81.0,1.5,100000.0
2009,106149.0,70.0,1.4,50000.0
2009,106149.0,70.0,1.4,50000.0
2017,112175.0,110.0,2.0,200000.0
2017,112175.0,110.0,2.0,200000.0
2007,270273.0,103.0,1.8,120000.0
2007,270273.0,103.0,1.8,120000.0
2008,98974.0,61.0,1.2,350000.0
2008,98974.0,61.0,1.2,350000.0
2012,127776.0,92.0,1.4,210000.0
2012,127776.0,92.0,1.4,210000.0
2014,167204.0,132.0,1.8,100000.0
2014,167204.0,132.0,1.8,100000.0
2022,114148.0,110.0,2.0,250000.0
2022,114148.0,110.0,2.0,250000.0
2013,159343.0,103.0,2.0,200000.0
2013,159343.0,103.0,2.0,200000.0
2007,207199.0,44.0,1.2,120000.0
2007,207199.0,44.0,1.2,120000.0
2020,180319.0,100.0,1.6,300000.0
2020,180319.0,100.0,1.6,300000.0
2012,198366.0,68.0,1.6,100000.0
2012,198366.0,68.0,1.6,100000.0
2019,146989.0,96.0,1.3,74000.0
2016,72983.0,81.0,1.2,270000.0
2016,72983.0,81.0,1.2,270000.0
2021,181866.0,85.0,2.0,300000.0
2021,181866.0,85.0,2.0,300000.0
2008,55009.0,88.0,1.6,220000.0
2008,55009.0,88.0,1.6,220000.0
2016,88184.0,110.0,2.0,200000.0
2016,88184.0,110.0,2.0,200000.0
2016,112012.0,66.0,1.2,210000.0
2016,112012.0,66.0,1.2,210000.0
2005,224837.0,88.0,1.9,100000.0
2005,224837.0,88.0,1.9,100000.0
2017,99286.0,74.0,1.2,310000.0
2017,99286.0,74.0,1.2,310000.0
2012,247730.0,155.0,2.0,150000.0
2012,247730.0,155.0,2.0,150000.0
2018,186040.0,85.0,1.6,200000.0
